id,movieData_pl_title,streaming_netflix_internalId,rating_filmweb_internalId,rating_filmweb_title,rating_filmweb_year,rating_filmweb_type,rating_filmweb_subType,rating_filmweb_originalTitle,rating_filmweb_posterPath,rating_filmweb_value,rating_filmweb_count,rating_filmweb_wantToSee
1,Seks w wielkim mieście,70136137,459569,Seks w wielkim mieście,2008,film,film_cinema,Sex and the City,/95/69/459569/7527779_1.$.jpg,6.42167,80068,5093
2,Biuro,70136120,202887,Biuro,2005,serial,serial_tv,The Office,/28/87/202887/7906640_2.$.jpg,8.76457,90662,29713
3,The Kominsky Method,80201680,808065,The Kominsky Method,2018,serial,serial_tv,The Kominsky Method,/80/65/808065/7902784_1.$.jpg,7.7823,19343,8578
4,BoJack Horseman,70300800,718443,BoJack Horseman,2014,serial,serial_tv,BoJack Horseman,/84/43/718443/7901886_1.$.jpg,8.56266,65850,13880
5,Orange Is the New Black,70242311,666215,Orange Is the New Black,2013,serial,serial_tv,Orange Is the New Black,/62/15/666215/7790617_2.$.jpg,7.72193,102169,32120
6,Kroniki Seinfelda,70153373,34055,Kroniki Seinfelda,1990,serial,serial_tv,Seinfeld,/40/55/34055/7285616_1.$.jpg,7.82051,5120,4070
7,Archer,70171942,541885,Archer,2009,serial,serial_tv,Archer,/18/85/541885/8082952_1.$.jpg,8.12489,9937,6017
8,GLOW,80114988,779245,GLOW,2017,serial,serial_tv,GLOW,/92/45/779245/7792513_2.$.jpg,7.18614,8875,4130
9,Dr House,70136117,130177,Dr House,2004,serial,serial_tv,House M.D.,/01/77/130177/7221239_2.$.jpg,8.21012,481651,64244
10,Mad Men,70136135,436999,Mad Men,2007,serial,serial_tv,Mad Men,/69/99/436999/7286413_3.$.jpg,8.10036,34736,36389
11,Brooklyn 9-9,70281562,685359,Brooklyn 9-9,2013,serial,serial_tv,Brooklyn Nine-Nine,/53/59/685359/7966705_1.$.jpg,8.04824,41042,12358
12,Hitler i naziści: Sąd nad złem,81561941,10054074,Hitler i naziści: Sąd nad złem,2024,serial,mini_serial,Hitler and the Nazis: Evil on Trial,/40/74/10054074/8129909.$.jpg,6.81801,533,191
13,Sprawa rodzinna,81361154,10030242,Sprawa rodzinna,2024,film,film_cinema,A Family Affair,/02/42/10030242/8129188.$.jpg,4.68704,9244,1143
14,Uciekaj!,80149258,750704,Uciekaj!,2017,film,film_cinema,Get Out,/07/04/750704/7783094_2.$.jpg,7.04358,157743,30689
15,MINDHUNTER,80114855,764111,Mindhunter,2017,serial,serial_tv,Mindhunter,/41/11/764111/7894593_1.$.jpg,7.9761,106024,34328
16,Dr House,70136117,130177,Dr House,2004,serial,serial_tv,House M.D.,/01/77/130177/7221239_2.$.jpg,8.21012,481651,64244
17,Dexter,70136126,331618,Dexter,2006,serial,serial_tv,Dexter,/16/18/331618/7331585_2.$.jpg,8.19146,196696,64364
18,House of Cards,70178217,620036,House of Cards,2013,serial,serial_tv,House of Cards,/00/36/620036/7855884_1.$.jpg,8.33716,171764,66947
19,Czarne lustro,70264888,640699,Czarne lustro,2011,serial,episode_anthology,Black Mirror,/06/99/640699/8075655_1.$.jpg,8.30035,174473,51705
20,Breaking Bad,70143836,430668,Breaking Bad,2008,serial,serial_tv,Breaking Bad,/06/68/430668/7730445_2.$.jpg,8.80338,301285,67525
21,The End of the F***ing World,80175722,789148,The End of the F***ing World,2017,serial,serial_tv,The End of the F***ing World,/91/48/789148/7903090_1.$.jpg,7.4199,128020,18761
22,Sześć stóp pod ziemią,70180080,89546,Sześć stóp pod ziemią,2001,serial,serial_tv,Six Feet Under,/95/46/89546/8017536_1.$.jpg,7.92987,37913,33315
23,Ozark,80117552,779550,Ozark,2017,serial,serial_tv,Ozark,/95/50/779550/7797986_2.$.jpg,7.66084,57843,22617
24,Dahmer,81287562,34084,Dahmer,2002,film,film_cinema,Dahmer,/40/84/34084/7184177_1.$.jpg,5.49093,827,1390
25,Problem trzech ciał,81024821,10030298,Problem trzech ciał,2024,serial,serial_tv,3 Body Problem,/02/98/10030298/8117491_1.$.jpg,6.55544,19516,10195
26,Ripley,81678765,840403,Ripley,2024,serial,mini_serial,Ripley,/04/03/840403/8111466_2.$.jpg,7.71976,8564,10170
27,Zbrodnia,81204911,713285,Zbrodnia,2014,serial,serial_tv,Zbrodnia,/32/85/713285/7709125_1.$.jpg,6.36119,11033,2911
28,Sherlock,70202589,528992,Sherlock,2010,serial,serial_tv,Sherlock,/89/92/528992/7864164_2.$.jpg,8.54766,225506,57271
29,Zabić ból,81095069,859026,Zabić ból,2023,serial,mini_serial,Painkiller,/90/26/859026/8080103_1.$.jpg,7.02785,6104,2635
30,"Światło, którego nie widać",81083008,10034623,"Światło, którego nie widać",2023,serial,mini_serial,All the Light We Cannot See,/46/23/10034623/8094344_1.$.jpg,6.84351,6582,3900
31,Morderczynie,81709592,10017832,Morderczynie,2023,serial,serial_tv,Morderczynie,/78/32/10017832/8096341_1.$.jpg,6.71586,13539,2698
32,Lucyfer,80057918,742520,Lucyfer,2016,serial,serial_tv,Lucifer,/25/20/742520/7928120_1.$.jpg,7.87901,118206,27662
33,Resident Alien,81405070,831187,Resident Alien,2021,serial,serial_tv,Resident Alien,/11/87/831187/8110827_1.$.jpg,7.28864,4057,2433
34,Good Girls,80177342,786959,Good Girls,2018,serial,serial_tv,Good Girls,/69/59/786959/7971756_1.$.jpg,7.41638,14405,3800
